"DateTimePST","DateTimeUTC","Stage","WT","YI","VB","WTmn","WTmx","WTvr","TW","LSU","TS_slot","TS_smp_code","TS_thr_code","IBatt","ISolar","Stg_Qual","TBatt","VLoad","VSolar","file_name"
2020-04-01 07:00:00,2020-04-01 15:00:00,0.21,2,-2.4,12.6,1,8,1.3,0.3,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 07:15:00,2020-04-01 15:15:00,0.21,3,-2.2,12.6,1,26,14.6,0.3,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 07:30:00,2020-04-01 15:30:00,0.22,2,-2.4,12.6,1,15,2.7,0.3,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 07:45:00,2020-04-01 15:45:00,0.21,2,-2.4,12.6,1,19,10.6,0.3,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 08:00:00,2020-04-01 16:00:00,0.22,2,-2.2,12.6,1,17,5.9,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 08:15:00,2020-04-01 16:15:00,0.21,3,-1.9,12.6,1,41,37.3,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 08:30:00,2020-04-01 16:30:00,0.21,2,-1.9,12.6,1,51,42.1,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 08:45:00,2020-04-01 16:45:00,0.21,2,-1.7,12.6,1,9,1,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 09:00:00,2020-04-01 17:00:00,0.21,2,-1.7,12.6,1,17,6.1,0.4,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 09:15:00,2020-04-01 17:15:00,0.22,2,-1.7,12.6,1,10,1.5,0.5,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 09:30:00,2020-04-01 17:30:00,0.21,2,-1.5,12.6,1,46,23.6,0.5,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 09:45:00,2020-04-01 17:45:00,0.21,3,-1.3,12.6,1,13,5.2,0.5,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 10:00:00,2020-04-01 18:00:00,0.21,2,-1.2,12.6,1,31,14.6,0.5,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 10:15:00,2020-04-01 18:15:00,0.21,2,-1.2,12.6,1,19,4.4,0.5,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 10:30:00,2020-04-01 18:30:00,0.21,2,-1.2,12.6,1,12,3.5,0.6,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 10:45:00,2020-04-01 18:45:00,0.21,2,-1,12.6,1,16,5.8,0.6,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 11:00:00,2020-04-01 19:00:00,0.21,3,-0.8,12.6,1,14,5.2,0.6,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
